Binomial,Range size (sq km),Log10 range size,Body mass (g),Log10 body mass,Population density (individuals/ha),Log10 population density,Study area (ha),Log10 study area,iqr mean annual temperature,iqr precipitation,iqr seasonality,iqr altitude,iqr NPP,iqr solar radiation,Diet (Proxy for Trophic level),Biogeographical realm,Range size within biogeographical realm (sq km),Population density and study area reference,Taxonomic group
Ctenotus australis,72410.833,4.860,29.309,1.467,11.000,1.041,1.000,0.000,23.250,293.750,645.000,183.250,0.368,6.896,Carnivorous,Australasia,70587.866,"Davidge, C. (1979). A census of a community of small terrestrial vertebrates. Australian Journal of Ecology, 4, 165-170.",Lizards
Ctenotus leonhardii,3880264.572,6.589,10.046,1.002,25.000,1.398,0.300,-0.523,36.000,136.000,713.000,267.000,0.180,4.881,Omnivorous,Australasia,3879965.349,"Morton, S.R. & James, C.D. (1988). The diversity and abundance of lizards in arid Australia: A new hypothesis. Am. Nat., 132, 237–256.",Lizards
Ctenotus pantherinus,5033812.443,6.702,45.394,1.657,56.000,1.748,0.300,-0.523,47.000,218.000,1275.750,248.000,0.276,5.208,Carnivorous,Australasia,5029139.470,"Morton, S.R. & James, C.D. (1988). The diversity and abundance of lizards in arid Australia: A new hypothesis. Am. Nat., 132, 237–256.",Lizards
Ctenotus piankai,2345019.559,6.370,4.140,0.617,12.500,1.097,0.100,-1.000,42.000,178.000,1394.000,211.000,0.214,3.194,Carnivorous,Australasia,2344503.225,"James, C.D. (1991). Population dynamics, demography, and life history of sympatric scincid lizards (Ctenotus) in central Australia. Herpetologica, 47, 194–210.",Lizards
Ctenotus quattuordecimlineatus,1205830.971,6.081,7.129,0.853,68.000,1.833,0.300,-0.523,26.000,91.000,518.000,222.000,0.094,1.910,Carnivorous,Australasia,1205830.971,"Morton, S.R. & James, C.D. (1988). The diversity and abundance of lizards in arid Australia: A new hypothesis. Am. Nat., 132, 237–256.",Lizards
Ctenotus spaldingi,1029497.844,6.013,25.177,1.401,2.000,0.301,1.000,0.000,13.000,526.750,1526.000,195.000,0.346,9.125,Carnivorous,Australasia,1024355.955,"Kutt, a. S., Bateman, B.L. & Vanderduys, E.P. (2011). Lizard diversity on a rainforestsavanna altitude gradient in north-eastern Australia. Aust. J. Zool., 59, 86–94.",Lizards
Ctenotus taeniolatus,842319.985,5.925,14.791,1.170,4.000,0.602,1.000,0.000,53.000,311.000,1306.000,258.000,0.316,8.408,Carnivorous,Australasia,839219.084,"Kutt, a. S., Bateman, B.L. & Vanderduys, E.P. (2011). Lizard diversity on a rainforestsavanna altitude gradient in north-eastern Australia. Aust. J. Zool., 59, 86–94.",Lizards
Diplodactylus conspicillatus,4955341.670,6.695,5.470,0.738,39.000,1.591,0.300,-0.523,46.000,201.000,1327.000,260.000,0.256,5.360,Carnivorous,Australasia,4952023.304,"Morton, S.R. & James, C.D. (1988). The diversity and abundance of lizards in arid Australia: A new hypothesis. Am. Nat., 132, 237–256.",Lizards
Diplodactylus tessellatus,2256665.878,6.353,3.864,0.587,142.150,2.153,0.010,-2.000,35.000,190.000,704.750,178.000,0.315,6.833,Carnivorous,Australasia,2256665.875,"Henle, K. (1990). Population Ecology and Life History of Three Terrestrial Geckos in Arid Australia. Copeia, 1990, 759.; Henle, K. (1991). Life History Patterns in Lizards of the Arid and Semiarid Zone of Australia. Oecologia, 88, 347–358.",Lizards
Diporiphora australis,682730.543,5.834,14.859,1.172,8.300,0.919,1.000,0.000,42.000,415.500,1487.500,256.500,0.266,5.292,Carnivorous,Australasia,679801.079,"Kutt, a. S., Bateman, B.L. & Vanderduys, E.P. (2011). Lizard diversity on a rainforestsavanna altitude gradient in north-eastern Australia. Aust. J. Zool., 59, 86–94.",Lizards
Dipsosaurus dorsalis,455206.326,5.658,159.588,2.203,22.110,1.345,1.000,0.000,35.000,146.000,2392.000,599.000,0.315,12.058,Herbivorous,Nearctic,443523.413,"Alberts, A.C. (1993). Relationship of Space Use to Population Density in an Herbivorous Lizard. Herpetologica, 49, 469–479.",Lizards
Dracaena guianensis,3108422.521,6.493,2426.610,3.385,0.385,-0.415,2.600,0.415,9.000,485.000,171.000,123.000,0.020,5.019,Carnivorous,Neotropic,3099421.678,"Duellman, W.E. (1987). Lizards in an Amazonian Rain Forest Community Resouce Utilization and Abundance. Natl. Geogr. Res., 3, 489–500.",Lizards
